codigo,descripcion
B21,Enfermedad por VIH que da lugar a tumores malignos
B22,Enfermedad por VIH que da lugar a otras enfermedades especificadas
B23,Enfermedad por VIH que da lugar a otras afecciones
B24,Enfermedad por VIH no especificada
B25,Enfermedad por citomegalovirus
B26,Parotiditis
B27,Mononucleosis infecciosa
B30,Conjuntivitis viral
B33,Otras enfermedades virales
B34,Infección viral de sitio no especificado
B35,Dermatofitosis
B36,Otras micosis superficiales
B37,Candidiasis
B38,Coccidioidomicosis
B39,Histoplasmosis
B40,Blastomicosis
B41,Paracoccidioidomicosis
B42,Esporotricosis
B43,Cromomicosis y absceso feomicótico
B44,Aspergilosis
B45,Criptococosis
B46,Cigomicosis
B47,Micetoma
B48,Otras micosis
B49,Micosis no especificada
B50,Paludismo por Plasmodium falciparum
B51,Paludismo por Plasmodium vivax
B52,Paludismo por Plasmodium malariae
B53,Otro paludismo confirmado parasitológicamente
B54,Paludismo no especificado
B55,Leishmaniasis
B56,Tripanosomiasis africana
B57,Enfermedad de Chagas
B58,Toxoplasmosis
B59,Neumocistosis
B60,Otras enfermedades debidas a protozoarios
B64,Enfermedad debida a protozoarios no especificada
B65,Esquistosomiasis
B66,Otras infestaciones por trematodos
B67,Equinococosis
B68,Teniasis
B69,Cisticercosis
B70,Difilobotriasis y esparganosis
B71,Otras infestaciones por cestodos
B72,Dracontiasis
B73,Oncocercosis
B74,Filariasis
B75,Triquinosis
B76,Anquilostomiasis y necatoriasis
B77,Ascariasis
B78,Estrongiloidiasis
B79,Tricuriasis
B80,Oxiuriasis
B81,Otras helmintiasis intestinales
B82,Parasitosis intestinal no especificada
B83,Otras helmintiasis
B85,Pediculosis y phthiriasis
B86,Escabiosis
B87,Miasis
B88,Otras infestaciones
B89,Enfermedad parasitaria no especificada
B90,Secuelas de tuberculosis
B91,Secuelas de poliomielitis
B92,Secuelas de lepra
B94,Secuelas de otras enfermedades infecciosas y parasitarias
B95,Estreptococo como causa de enfermedades
B96,Otros agentes bacterianos como causa de enfermedades
B97,Agentes virales como causa de enfermedades
B99,Otras enfermedades infecciosas
C00,Tumor maligno del labio
C01,Tumor maligno de la base de la lengua
C02,Tumor maligno de otras partes y de las no especificadas de la lengua
C03,Tumor maligno de la encía
C04,Tumor maligno del piso de la boca
C05,Tumor maligno del paladar
C06,Tumor maligno de otras partes y de las no especificadas de la boca
C07,Tumor maligno de la glándula parótida
C08,Tumor maligno de otras glándulas salivales mayores
C09,Tumor maligno de la amígdala
C10,Tumor maligno de la orofaringe
C11,Tumor maligno de la nasofaringe
C12,Tumor maligno del seno piriforme
C13,Tumor maligno de la hipofaringe
C14,Tumor maligno de otros sitios y de los mal definidos del labio
C15,Tumor maligno del esófago
C16,Tumor maligno del estómago
C17,Tumor maligno del intestino delgado
C18,Tumor maligno del colon
C19,Tumor maligno de la unión rectosigmoidea
C20,Tumor maligno del recto
C21,Tumor maligno del ano y del conducto anal
C22,Tumor maligno del hígado y de las vías biliares intrahepáticas
C23,Tumor maligno de la vesícula biliar
C24,Tumor maligno de otras partes de las vías biliares
C25,Tumor maligno del páncreas
C26,Tumor maligno de otros sitios y de los mal definidos de los órganos digestivos
C30,Tumor maligno de las fosas nasales y del oído medio
C31,Tumor maligno de los senos paranasales
C32,Tumor maligno de la laringe
C33,Tumor maligno de la tráquea
C34,Tumor maligno de los bronquios y del pulmón
C37,Tumor maligno del timo
C38,"Tumor maligno del corazón, del mediastino y de la pleura"
C39,Tumor maligno de otros sitios y de los mal definidos del sistema respiratorio
C40,Tumor maligno de los huesos y de los cartílagos articulares de los miembros
C41,Tumor maligno de los huesos y de los cartílagos articulares de otros sitios
C43,Melanoma maligno de la piel
C44,Otros tumores malignos de la piel
C45,Mesotelioma
C46,Sarcoma de Kaposi
C47,Tumor maligno de los nervios periféricos
C48,Tumor maligno del peritoneo y del retroperitoneo
C49,Tumor maligno de otros tejidos conjuntivos y de tejidos blandos
C50,Tumor maligno de la mama
C51,Tumor maligno de la vulva
C52,Tumor maligno de la vagina
C53,Tumor maligno del cuello del útero
C54,Tumor maligno del cuerpo del útero
C55,"Tumor maligno del útero, parte no especificada"
C56,Tumor maligno del ovario
C57,Tumor maligno de otros órganos genitales femeninos
C58,Tumor maligno de la placenta
C60,Tumor maligno del pene
C61,Tumor maligno de la próstata
C62,Tumor maligno del testículo
C63,Tumor maligno de otros órganos genitales masculinos
C64,Tumor maligno del riñón
C65,Tumor maligno de la pelvis renal
C66,Tumor maligno del uréter
C67,Tumor maligno de la vejiga urinaria
C68,Tumor maligno de otros órganos urinarios
C69,Tumor maligno del ojo y sus anexos
C70,Tumor maligno de las meninges
C71,Tumor maligno del encéfalo
C72,Tumor maligno de la médula espinal
C73,Tumor maligno de la glándula tiroides
C74,Tumor maligno de la glándula suprarrenal
C75,Tumor maligno de otras glándulas endocrinas
C76,Tumor maligno de otros sitios y de los mal definidos
C77,Tumor maligno secundario de los ganglios linfáticos
C78,Tumor maligno secundario de los órganos respiratorios y digestivos
C79,Tumor maligno secundario de otros sitios
C80,Tumor maligno de sitio no especificado
C81,Enfermedad de Hodgkin
C82,Linfoma no Hodgkin folicular
C83,Linfoma no Hodgkin difuso
C84,Linfomas de células T/NK maduras
C85,Otros tipos de linfoma no Hodgkin
C86,Otros tipos especificados de linfoma de células T/NK
C88,Enfermedades inmunoproliferativas malignas
C90,Mieloma múltiple y tumores malignos de células plasmáticas
C91,Leucemia linfoide
C92,Leucemia mieloide
C93,Leucemia monocítica
C94,Otras leucemias de tipo celular especificado
C95,Leucemia de tipo celular no especificado
C96,Otros tumores malignos y los no especificados del tejido linfoide
C97,Tumores malignos de localizaciones múltiples independientes
D00,Carcinoma in situ de la cavidad bucal
D01,Carcinoma in situ de otros órganos digestivos
D02,Carcinoma in situ del oído medio y del sistema respiratorio
D03,Melanoma in situ
D04,Carcinoma in situ de la piel
D05,Carcinoma in situ de la mama
D06,Carcinoma in situ del cuello del útero
D07,Carcinoma in situ de otros órganos genitales
D09,Carcinoma in situ de otros sitios y de los no especificados
D10,Tumor benigno de la boca y de la faringe
D11,Tumor benigno de las glándulas salivales mayores
D12,"Tumor benigno del colon, del recto y del conducto anal"
D13,Tumor benigno de otras partes y de las mal definidas de los órganos digestivos
D14,Tumor benigno del oído medio y del sistema respiratorio
D15,Tumor benigno de otros órganos intratorácicos
D16,Tumor benigno de los huesos y de los cartílagos articulares
D17,Tumor benigno lipomatoso
D18,Hemangioma y linfangioma
D19,Tumor benigno del tejido mesotelial
D20,Tumor benigno del tejido blando del retroperitoneo y del peritoneo
D21,Otros tumores benignos del tejido conjuntivo y de otros tejidos blandos
D22,Nevos melanocíticos
D23,Otros tumores benignos de la piel
D24,Tumor benigno de la mama
D25,Leiomioma del útero
D26,Otros tumores benignos del útero
D27,Tumor benigno del ovario
D28,Tumor benigno de otros órganos genitales femeninos
D29,Tumor benigno de los órganos genitales masculinos
D30,Tumor benigno de los órganos urinarios
D31,Tumor benigno del ojo y sus anexos
D32,Tumor benigno de las meninges
D33,Tumor benigno del encéfalo y de otras partes del sistema nervioso central
D34,Tumor benigno de la glándula tiroides
D35,Tumor benigno de otras glándulas endocrinas
D36,Tumor benigno de otros sitios y de los no especificados
D37,Tumor de comportamiento incierto de la cavidad bucal y de los órganos digestivos
D38,Tumor de comportamiento incierto del oído medio y de los órganos respiratorios e intratorácicos
D39,Tumor de comportamiento incierto de los órganos genitales femeninos
D40,Tumor de comportamiento incierto de los órganos genitales masculinos
D41,Tumor de comportamiento incierto de los órganos urinarios
D42,Tumor de comportamiento incierto de las meninges
D43,Tumor de comportamiento incierto del encéfalo y del sistema nervioso central
D44,Tumor de comportamiento incierto de las glándulas endocrinas
D45,Policitemia vera
D46,Síndromes mielodisplásicos
D47,Otros tumores de comportamiento incierto del tejido linfoide
D48,Tumor de comportamiento incierto de otros sitios y de los no especificados
D49,Tumores de comportamiento no especificado
D50,Anemia por deficiencia de hierro
D51,Anemia por deficiencia de vitamina B12
D52,Anemia por deficiencia de folato
D53,Otras anemias nutricionales
D55,Anemia debida a trastornos enzimáticos
D56,Talasemia
D57,Trastornos falciformes
D58,Otras anemias hemolíticas hereditarias
D59,Anemia hemolítica adquirida
D60,Aplasia adquirida pura de células rojas
D61,Otras anemias aplásticas
D62,Anemia posthemorrágica aguda
D63,Anemia en enfermedades crónicas
D64,Otras anemias
D65,Coagulación intravascular diseminada
D66,Deficiencia hereditaria del factor VIII
D67,Deficiencia hereditaria del factor IX
D68,Otros defectos de la coagulación
D69,Púrpura y otras afecciones hemorrágicas
D70,Agranulocitosis
D71,Trastornos funcionales de los neutrófilos polimorfonucleares
D72,Otros trastornos de los leucocitos
D73,Enfermedades del bazo
D74,Methemoglobinemia
D75,Otras enfermedades de la sangre y de los órganos hematopoyéticos
D76,Ciertas enfermedades que afectan al tejido linforreticular
D77,Otros trastornos de la sangre y de los órganos hematopoyéticos en enfermedades clasificadas
D80,Inmunodeficiencia con predominio de defectos de los anticuerpos
D81,Inmunodeficiencias combinadas
D82,Inmunodeficiencia asociada con otros defectos importantes
D83,Inmunodeficiencia variable común
D84,Otras inmunodeficiencias
D86,Sarcoidosis
D89,Otros trastornos que afectan al mecanismo de la inmunidad
E00,Síndrome de deficiencia congénita de yodo
E01,Trastornos tiroideos relacionados con deficiencia de yodo
E02,Hipotiroidismo subclínico por deficiencia de yodo
E03,Otro hipotiroidismo
E04,Bocio no tóxico
E05,Tirotoxicosis
E06,Tiroiditis
E07,Otros trastornos de la glándula tiroides
E10,Diabetes mellitus insulinodependiente
E11,Diabetes mellitus no insulinodependiente
E11.9,Diabetes mellitus tipo 2 sin complicaciones
E12,Diabetes mellitus asociada con desnutrición
E13,Otras formas especificadas de diabetes mellitus
E14,Diabetes mellitus no especificada
E15,Coma hipoglucémico no diabético
E16,Otros trastornos de la secreción interna del páncreas
E20,Hipoparatiroidismo
E21,Hiperparatiroidismo y otros trastornos de la glándula paratiroides
E22,Hiperfunción de la hipófisis
E23,Hipofunción y otros trastornos de la hipófisis
E24,Síndrome de Cushing
E25,Trastornos adrenogenitales
E26,Hiperaldosteronismo
E27,Otros trastornos de la glándula suprarrenal
E28,Disfunción ovárica
E29,Disfunción testicular
E30,Trastornos de la pubertad no clasificados en otra parte
E31,Disfunción poliglandular
E32,Enfermedades del timo
E34,Otros trastornos endocrinos
E35,Trastornos de las glándulas endocrinas en enfermedades clasificadas en otra parte
E40,Kwashiorkor
E41,Marasmo nutricional
E42,Kwashiorkor marásmico
E43,Desnutrición proteicocalórica grave no especificada
E44,Desnutrición proteicocalórica de grado moderado y leve
E45,Retardo del desarrollo debido a desnutrición proteicocalórica
E46,Desnutrición proteicocalórica no especificada
E50,Deficiencia de vitamina A
E51,Deficiencia de tiamina
E52,Deficiencia de niacina
E53,Deficiencia de otras vitaminas del grupo B
E54,Deficiencia de ácido ascórbico
E55,Deficiencia de vitamina D
E56,Otras deficiencias de vitaminas
E58,Deficiencia dietética de calcio
E59,Deficiencia dietética de selenio
E60,Deficiencia dietética de zinc
E61,Deficiencia de otros elementos nutricionales
E63,Otras deficiencias nutricionales
E64,Secuelas de la desnutrición y de otras deficiencias nutricionales
E65,Adiposidad localizada
E66,Obesidad
E67,Otras hiperalimentaciones
E68,Secuelas de hiperalimentación
E70,Trastornos del metabolismo de los aminoácidos aromáticos
E71,Trastornos del metabolismo de los aminoácidos de cadena ramificada
E72,Otros trastornos del metabolismo de los aminoácidos
E73,Intolerancia a la lactosa
E74,Otros trastornos del metabolismo de los carbohidratos
E75,Trastornos del metabolismo de los esfingolípidos
E76,Trastornos del metabolismo de los glucosaminoglicanos
E77,Trastornos del metabolismo de las glucoproteínas
E78,Trastornos del metabolismo de las lipoproteínas
E79,Trastornos del metabolismo de las purinas y de las pirimidinas
E80,Trastornos del metabolismo de las porfirinas y de la bilirrubina
E83,Trastornos del metabolismo de los minerales
E84,Fibrosis quística
E85,Amiloidosis
E86,Depleción del volumen
E87,"Otros trastornos de los líquidos, electrólitos y equilibrio acidobásico"
E88,Otros trastornos metabólicos
E89,Trastornos endocrinos y metabólicos consecutivos a procedimientos
F00,Demencia en la enfermedad de Alzheimer
F01,Demencia vascular
F02,Demencia en otras enfermedades clasificadas en otra parte
F03,Demencia no especificada
F04,Síndrome amnésico orgánico
F05,Delirium no inducido por alcohol o por otras sustancias psicoactivas
F06,Otros trastornos mentales debidos a lesión o disfunción cerebral
F07,Trastornos de la personalidad y del comportamiento debidos a enfermedad cerebral
F09,Trastorno mental orgánico o sintomático no especificado
F10,Trastornos mentales y del comportamiento debidos al uso de alcohol
F11,Trastornos mentales y del comportamiento debidos al uso de opioides
F12,Trastornos mentales y del comportamiento debidos al uso de cannabinoides
F13,Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnóticos
F14,Trastornos mentales y del comportamiento debidos al uso de cocaína
F15,Trastornos mentales y del comportamiento debidos al uso de otros estimulantes
F16,Trastornos mentales y del comportamiento debidos al uso de alucinógenos
F17,Trastornos mentales y del comportamiento debidos al uso de tabaco
F18,Trastornos mentales y del comportamiento debidos al uso de disolventes volátiles
F19,Trastornos mentales y del comportamiento debidos al uso de múltiples drogas
F20,Esquizofrenia
F21,Trastorno esquizotípico
F22,Trastornos delirantes persistentes
F23,Trastornos psicóticos agudos y transitorios
F24,Trastorno delirante inducido
F25,Trastornos esquizoafectivos
F28,Otros trastornos psicóticos no orgánicos
F29,Psicosis no orgánica no especificada
F30,Episodio maníaco
F31,Trastorno afectivo bipolar
F32,Episodios depresivos
F33,Trastorno depresivo recurrente
F34,Trastornos del humor persistentes
F38,Otros trastornos del humor
F39,Trastorno del humor no especificado
F40,Trastornos fóbicos de ansiedad
F41,Otros trastornos de ansiedad
F42,Trastorno obsesivo-compulsivo
F43,Reacciones al estrés grave y trastornos de adaptación
F44,Trastornos disociativos
F45,Trastornos somatomorfos
F48,Otros trastornos neuróticos
F50,Trastornos de la conducta alimentaria
F51,Trastornos no orgánicos del sueño
F52,Disfunción sexual no ocasionada por trastorno ni enfermedad orgánicos
F53,Trastornos mentales y del comportamiento asociados con el puerperio
F54,Factores psicológicos y del comportamiento asociados con trastornos clasificados en otra parte
F55,Abuso de sustancias que no producen dependencia
F59,Síndromes del comportamiento asociados con trastornos fisiológicos no especificados
F60,Trastornos específicos de la personalidad
F61,Trastornos mixtos y otros trastornos de la personalidad
F62,Cambios perdurables de la personalidad no atribuibles a lesión o enfermedad cerebral
F63,Trastornos de los hábitos y de los impulsos
F64,Trastornos de la identidad de género
F65,Trastornos de la preferencia sexual
F66,Trastornos psicológicos y del comportamiento asociados con el desarrollo sexual
F68,Otros trastornos de la personalidad y del comportamiento en adultos
F69,Trastorno de la personalidad y del comportamiento en adultos no especificado
F70,Retraso mental leve
F71,Retraso mental moderado
F72,Retraso mental grave
F73,Retraso mental profundo
F78,Otro retraso mental
F79,Retraso mental no especificado
F80,Trastornos específicos del desarrollo del habla y del lenguaje
F81,Trastornos específicos del desarrollo del aprendizaje escolar
F82,Trastorno específico del desarrollo de la función motriz
F83,Trastornos específicos mixtos del desarrollo
F84,Trastornos generalizados del desarrollo
F88,Otros trastornos del desarrollo psicológico
F89,Trastorno del desarrollo psicológico no especificado
F90,Trastornos hipercinéticos
F91,Trastornos de la conducta
F92,Trastornos mixtos de la conducta y de las emociones
F93,Trastornos de las emociones de comienzo habitual en la infancia
F94,Trastornos del comportamiento social de comienzo habitual en la infancia
F95,Trastornos por tics
F98,Otros trastornos emocionales y del comportamiento que aparecen habitualmente en la infancia
F99,Trastorno mental no especificado
G00,Meningitis bacteriana
G01,Meningitis en enfermedades bacterianas clasificadas en otra parte
G02,Meningitis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte
G03,Meningitis debida a otras causas y a las no especificadas
G04,"Encefalitis, mielitis y encefalomielitis"
G05,"Encefalitis, mielitis y encefalomielitis en enfermedades clasificadas en otra parte"
G06,Absceso y granuloma intracraneales e intraspinales
G07,Absceso y granuloma intracraneales e intraspinales en enfermedades clasificadas en otra parte
G08,Flebitis y tromboflebitis intracraneales e intraspinales
G09,Secuelas de enfermedades inflamatorias del sistema nervioso central
G10,Enfermedad de Huntington
G11,Ataxia hereditaria
G12,Atrofia muscular espinal y síndromes afines
G13,Atrofias sistémicas que afectan principalmente al sistema nervioso central en enfermedades clasificadas en otra parte
G20,Enfermedad de Parkinson
G21,Parkinsonismo secundario
G22,Parkinsonismo en enfermedades clasificadas en otra parte
G23,Otras enfermedades degenerativas de los ganglios de la base
G24,Distonía
G25,Otros trastornos extrapiramidales y del movimiento
G26,Trastornos extrapiramidales y del movimiento en enfermedades clasificadas en otra parte
G30,Enfermedad de Alzheimer
G31,Otras enfermedades degenerativas del sistema nervioso
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas en otra parte
G35,Esclerosis múltiple
G36,Otras desmielinizaciones diseminadas agudas
G37,Otras enfermedades desmielinizantes del sistema nervioso central
G40,Epilepsia
G41,Estado epiléptico
G43,Migraña
G44,Otros síndromes de cefalea
G45,Ataques de isquemia cerebral transitoria y síndromes afines
G46,Síndromes vasculares encefálicos en enfermedades cerebrovasculares
G47,Trastornos del sueño
G50,Trastornos del nervio trigémino
G51,Trastornos del nervio facial
G52,Trastornos de otros nervios craneales
G53,Trastornos de los nervios craneales en enfermedades clasificadas en otra parte
G54,Trastornos de las raíces y plexos nerviosos
G55,Compresiones de las raíces y plexos nerviosos en enfermedades clasificadas en otra parte
G56,Mononeuropatías del miembro superior
G57,Mononeuropatías del miembro inferior
G58,Otras mononeuropatías
G59,Mononeuropatía en enfermedades clasificadas en otra parte
G60,Neuropatía hereditaria e idiopática
G61,Polineuropatía inflamatoria
G62,Otras polineuropatías
G63,Polineuropatía en enfermedades clasificadas en otra parte
G64,Otros trastornos del sistema nervioso periférico
G70,Miastenia grave y otros trastornos neuromusculares
G71,Trastornos musculares primarios
G72,Otras miopatías
G73,Trastornos de la unión neuromuscular y de los músculos en enfermedades clasificadas en otra parte
G80,Parálisis cerebral infantil
G81,Hemiplejía
G82,Paraplejía y tetraplejía
G83,Otros síndromes paralíticos
G89,Trastornos del dolor no clasificados en otra parte
G90,Trastornos del sistema nervioso autónomo
G91,Hidrocefalia
G92,Encefalopatía tóxica
G93,Otros trastornos del encéfalo
G94,Otros trastornos del encéfalo en enfermedades clasificadas en otra parte
G95,Otras enfermedades de la médula espinal
G96,Otros trastornos del sistema nervioso central
G97,Trastornos del sistema nervioso consecutivos a procedimientos
G98,Otros trastornos del sistema nervioso
G99,Otros trastornos del sistema nervioso en enfermedades clasificadas en otra parte
H00,Orzuelo y chalazión
H01,Otras inflamaciones del párpado
H02,Otros trastornos del párpado
H03,Trastornos del párpado en enfermedades clasificadas en otra parte
H04,Trastornos del aparato lagrimal
H05,Trastornos de la órbita
H06,Trastornos del aparato lagrimal y de la órbita en enfermedades clasificadas en otra parte
H10,Conjuntivitis
H11,Otros trastornos de la conjuntiva
H13,Trastornos de la conjuntiva en enfermedades clasificadas en otra parte
H15,Trastornos de la esclerótica
H16,Queratitis
H17,Cicatrices y opacidades de la córnea
H18,Otros trastornos de la córnea
H19,Trastornos de la esclerótica y de la córnea en enfermedades clasificadas en otra parte
H20,Iridociclitis
H21,Otros trastornos del iris y del cuerpo ciliar
H22,Trastornos del iris y del cuerpo ciliar en enfermedades clasificadas en otra parte
H25,Catarata senil
H26,Otras cataratas
H27,Otros trastornos del cristalino
H28,Catarata y otros trastornos del cristalino en enfermedades clasificadas en otra parte
H30,Inflamación coriorretiniana
H31,Otros trastornos de la coroides
H33,Desprendimiento y desgarro de la retina
H34,Oclusiones vasculares de la retina
H35,Otros trastornos de la retina
H36,Trastornos de la retina en enfermedades clasificadas en otra parte
H40,Glaucoma
H42,Glaucoma en enfermedades clasificadas en otra parte
H43,Trastornos del cuerpo vítreo
H44,Trastornos del globo ocular
H46,Neuritis óptica
H47,Otros trastornos del nervio óptico y de las vías ópticas
H48,Trastornos del nervio óptico y de las vías ópticas en enfermedades clasificadas en otra parte
H49,Estrabismo paralítico
H50,Otros estrabismos
H51,Trastornos del movimiento binocular
H52,Trastornos de la acomodación y de la refracción
H53,Alteraciones visuales
H54,Ceguera y visión reducida
H55,Nistagmo y otros movimientos oculares irregulares
H57,Otros trastornos del ojo y sus anexos
H58,Otros trastornos del ojo y sus anexos en enfermedades clasificadas en otra parte
H59,Trastornos del ojo y sus anexos consecutivos a procedimientos
H60,Otitis externa
H61,Otros trastornos del oído externo
H62,Trastornos del oído externo en enfermedades clasificadas en otra parte
H65,Otitis media no supurativa
H66,Otitis media supurativa y la no especificada
H67,Otitis media en enfermedades clasificadas en otra parte
H68,Inflamación y obstrucción de la trompa de Eustaquio
H69,Otros trastornos de la trompa de Eustaquio
H70,Mastoiditis y afecciones relacionadas
H71,Colesteatoma del oído medio
H72,Perforación de la membrana timpánica
H73,Otros trastornos de la membrana timpánica
H74,Otros trastornos del oído medio y de la apófisis mastoides
H75,Otros trastornos del oído medio y de la apófisis mastoides en enfermedades clasificadas en otra parte
H80,Otosclerosis
H81,Trastornos de la función vestibular
H82,Síndromes vertiginosos en enfermedades clasificadas en otra parte
H83,Otros trastornos del oído interno
H90,Hipoacusia conductiva y neurosensorial
H91,Otras pérdidas de la audición
H92,Otalgia y supuración del oído
H93,Otros trastornos del oído
H94,Otros trastornos del oído en enfermedades clasificadas en otra parte
H95,Trastornos del oído y de la apófisis mastoides consecutivos a procedimientos
I00,Fiebre reumática sin mención de complicación cardiaca
I01,Fiebre reumática con complicación cardiaca
I02,Corea reumática
I05,Enfermedades reumáticas de la válvula mitral
I06,Enfermedades reumáticas de la válvula aórtica
I07,Enfermedades reumáticas de la válvula tricúspide
I08,Enfermedades de múltiples válvulas
I09,Otras enfermedades reumáticas del corazón
I10,Hipertensión esencial
I11,Enfermedad cardiaca hipertensiva
I12,Enfermedad renal hipertensiva
I13,Enfermedad cardiorrenal hipertensiva
I15,Hipertensión secundaria
I20,Angina de pecho
I21,Infarto agudo del miocardio
I22,Infarto subsecuente del miocardio
I23,Algunas complicaciones presentes posteriores al infarto agudo del miocardio
I24,Otras enfermedades isquémicas agudas del corazón
I25,Enfermedad isquémica crónica del corazón
I26,Embolia pulmonar
I27,Otras enfermedades cardiopulmonares
I28,Otras enfermedades de los vasos pulmonares
I30,Pericarditis aguda
I31,Otras enfermedades del pericardio
I32,Pericarditis en enfermedades clasificadas en otra parte
I33,Endocarditis aguda y subaguda
I34,Trastornos no reumáticos de la válvula mitral
I35,Trastornos no reumáticos de la válvula aórtica
I36,Trastornos no reumáticos de la válvula tricúspide
I37,Trastornos de la válvula pulmonar
I38,Endocarditis válvula no especificada
I39,Endocarditis y trastornos valvulares en enfermedades clasificadas en otra parte
I40,Miocarditis aguda
I41,Miocarditis en enfermedades clasificadas en otra parte
I42,Cardiomiopatía
I43,Cardiomiopatía en enfermedades clasificadas en otra parte
I44,Bloqueo auriculoventricular y de rama izquierda del haz
I45,Otros trastornos de la conducción
I46,Paro cardíaco
I47,Taquicardia paroxística
I48,Fibrilación y aleteo auricular
I49,Otras arritmias cardíacas
I50,Insuficiencia cardíaca
I51,Complicaciones y enfermedades cardíacas mal definidas
I52,Otros trastornos cardíacos en enfermedades clasificadas en otra parte
I60,Hemorragia subaracnoidea
I61,Hemorragia intracerebral
I62,Otras hemorragias intracraneales no traumáticas
I63,Infarto cerebral
I64,Accidente vascular encefálico agudo no especificado como hemorrágico o isquémico
I65,Oclusión y estenosis de las arterias precerebrales sin infarto cerebral
I66,Oclusión y estenosis de las arterias cerebrales sin infarto cerebral
I67,Otras enfermedades cerebrovasculares
I68,Trastornos cerebrovasculares en enfermedades clasificadas en otra parte
I69,Secuelas de enfermedades cerebrovasculares
I70,Aterosclerosis
I71,Aneurisma y disección aórtica
I72,Otro aneurisma
I73,Otras enfermedades vasculares periféricas
I74,Embolia y trombosis arteriales
I77,Otros trastornos de las arterias y arteriolas
I78,Enfermedades de los capilares
I79,"Trastornos de las arterias, arteriolas y capilares en enfermedades clasificadas en otra parte"
I80,Flebitis y tromboflebitis
I81,Trombosis de la vena porta
I82,Otra embolia y trombosis venosas
I83,Venas varicosas de los miembros inferiores
I84,Hemorroides
I85,Varices esofágicas
I86,Varices de otros sitios
I87,Otros trastornos de las venas
I88,Linfadenitis inespecífica
I89,Otros trastornos no infecciosos de los vasos linfáticos y ganglios linfáticos
I95,Hipotensión
I97,Trastornos del sistema circulatorio consecutivos a procedimientos
I98,Otros trastornos del sistema circulatorio en enfermedades clasificadas en otra parte
I99,Otros trastornos del sistema circulatorio y los no especificados
J00,Rinofaringitis aguda
J01,Sinusitis aguda
